Data Size (Bytes),Average Entropy (bits/byte)
8B,3.000000
16B,3.925000
50B,5.478346
200B,7.002428
500B,7.578653
1KB,7.809265
100KB,7.998237
250KB,7.999282
500KB,7.999614
750KB,7.999764
1MB,7.999815
